,term,estimate,std.error,statistic,p.value,,,term,estimate,std.error,statistic,p.value,,,term,estimate,std.error,statistic,p.value,,
1,(Intercept),3.03375545,0.013056569,232.3547185,0,,1,(Intercept),0.949515287,0.009374589,101.2860727,0,,1,(Intercept),0.949515287,0.008349444,113.7219766,0,,0
2,Density,-0.022972157,0.010598404,-2.167510992,0.030214319,,2,Density,-0.008369321,0.005096377,-1.642209991,0.100546493,,2,Density,-0.008369321,0.00453907,-1.843840531,0.065229542,,0
3,Sulphates,-0.017094873,0.010593114,-1.613772281,0.106601521,,3,pH,-0.006281583,0.005125716,-1.225503686,0.220385502,,3,pH,-0.006281583,0.0045652,-1.375971026,0.168854739,,0
4,Alcohol,0.044724708,0.010617239,4.212461227,2.54E-05,,4,Sulphates,-0.005950605,0.005099235,-1.166960335,0.243226388,,4,Sulphates,-0.005950605,0.004541616,-1.310239723,0.190138324,,0
5,LabelAppeal,0.550619904,0.013154998,41.8563273,0,,5,Alcohol,0.011115519,0.005123609,2.169470574,0.030046976,,5,Alcohol,0.011115519,0.004563324,2.435838167,0.014870915,,0
6,AcidIndex,-0.396222244,0.024137161,-16.41544554,6.08E-60,,6,LabelAppeal,0.142091556,0.005814871,24.43589009,7.11E-132,,6,LabelAppeal,0.142091556,0.005178994,27.43612864,4.54E-161,,0
7,STARS,0.220281753,0.067650686,3.256164349,0.001132226,,7,AcidIndex,-0.478642883,0.047130129,-10.15577283,3.12E-24,,7,AcidIndex,-0.478642883,0.041976281,-11.4026986,5.66E-30,,0
8,STARS_NA,-0.801966066,0.011434306,-70.13683864,0,,8,STARS,-0.20724962,0.032870543,-6.305025672,2.88E-10,,8,STARS,-0.20724962,0.029276032,-7.079156714,1.53E-12,,0
9,pH_NA,-0.014991204,0.010583746,-1.416436518,0.156672115,,9,STARS_NA,-0.392818348,0.007788248,-50.43732023,0,,9,STARS_NA,-0.392818348,0.006936575,-56.63001433,0,,0
10,inter_Starsna_labelappeal,-0.316001123,0.012733611,-24.81630189,8.12E-133,,10,Sulphates_NA,-0.002756233,0.005142791,-0.535941061,0.591999285,,10,Sulphates_NA,-0.002756233,0.004580408,-0.601743904,0.547355306,,0
11,inter_stars_acidindex,0.557388804,0.067971187,8.200368824,2.62E-16,,11,TotalSulpherDioxide_NA,0.002942888,0.005045077,0.583318814,0.559678699,,11,TotalSulpherDioxide_NA,0.002942888,0.00449338,0.654938697,0.512519023,,0
12,VolatileAcidity,-0.085889639,0.013535276,-6.345614006,2.29E-10,,12,Alcohol_NA,0.001827263,0.005076494,0.359945952,0.718887553,,12,Alcohol_NA,0.001827263,0.004521361,0.404140115,0.686116457,,0
13,Chlorides,-0.092994969,0.0332425,-2.797472221,0.005158124,,13,FreeSulfurDioxide_NA,0.003569281,0.005085894,0.701800103,0.482803835,,13,FreeSulfurDioxide_NA,0.003569281,0.004529734,0.787967118,0.430730569,,0
14,FreeSulfurDioxide,0.000213106,7.14E-05,2.984531087,0.002845507,,14,Chlorides_NA,-0.000782154,0.005070353,-0.154260315,0.877404487,,14,Chlorides_NA,-0.000782154,0.004515891,-0.173200396,0.862496658,,0
15,TotalSulfurDioxide,0.000173354,4.58E-05,3.787126136,0.000153098,,15,ResidualSugar_NA,0.003001329,0.005010984,0.598949911,0.549206287,,15,ResidualSugar_NA,0.003001329,0.004463015,0.67248898,0.501284624,,0
,,,,,,,16,pH_NA,-0.006314611,0.005174355,-1.220366811,0.222325853,,16,pH_NA,-0.006314611,0.004608521,-1.370203446,0.170647496,,0
,,,,,,,17,inter_Starsna_labelappeal,-0.092972876,0.00880664,-10.55713393,4.71E-26,,17,inter_Starsna_labelappeal,-0.092972876,0.007843602,-11.85333882,3.05E-32,,0
,,,,,,,18,inter_stars_acidindex,0.440939652,0.033385179,13.20764692,7.93E-40,,18,inter_stars_acidindex,0.440939652,0.02973439,14.82928178,2.44E-49,,0
,,,,,,,19,logAcidIndex,0.197680676,0.043373447,4.557642738,5.17E-06,,19,logAcidIndex,0.197680676,0.038630406,5.117230106,3.15E-07,,0
,,,,,,,20,VolatileAcidity,-0.027579082,0.006539238,-4.217476253,2.47E-05,,20,VolatileAcidity,-0.027579082,0.005824149,-4.735297981,2.21E-06,,0
,,,,,,,21,ResidualSugar,1.95E-05,0.000151232,0.129040889,0.897325294,,21,ResidualSugar,1.95E-05,0.000134694,0.144884529,0.884804328,,0
,,,,,,,22,CitricAcid,0.005135699,0.00589068,0.871834604,0.383298614,,22,CitricAcid,0.005135699,0.005246513,0.978878455,0.327658587,,0
,,,,,,,23,Chlorides,-0.03210895,0.016035967,-2.002308323,0.045251581,,23,Chlorides,-0.03210895,0.014282377,-2.248151736,0.024583507,,0
,,,,,,,24,FreeSulfurDioxide,9.59E-05,3.42E-05,2.800010822,0.005110089,,24,FreeSulfurDioxide,9.59E-05,3.05E-05,3.143796146,0.001671536,,0
,,,,,,,25,FixedAcidity,0.00011744,0.000819587,0.143292058,0.886059528,,25,FixedAcidity,0.00011744,0.000729963,0.160885457,0.872186162,,0
,,,,,,,26,TotalSulfurDioxide,6.61E-05,2.22E-05,2.978241469,0.002899075,,26,TotalSulfurDioxide,6.61E-05,1.98E-05,3.343909952,0.000828443,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4.3,,,,,,,,,,,,
