"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.949515287162514,0.00834944410864241,113.721976554066,0
"2","Density",-0.00836932122433013,0.0045390699922863,-1.84384053089134,0.0652295420153895
"3","pH",-0.00628158338586066,0.00456520033203673,-1.37597102623932,0.168854739432739
"4","Sulphates",-0.0059506050600755,0.0045416155204515,-1.31023972268879,0.190138323693972
"5","Alcohol",0.0111155188193404,0.00456332402098521,2.43583816713953,0.0148709145978341
"6","LabelAppeal",0.142091555531213,0.00517899436233759,27.436128636193,4.5401242421039e-161
"7","AcidIndex",-0.478642883344894,0.0419762812318347,-11.4026986026073,5.66016755495251e-30
"8","STARS",-0.207249620139319,0.029276032232452,-7.07915671405724,1.52621745364187e-12
"9","STARS_NA",-0.392818348199858,0.00693657511595396,-56.6300143274431,0
"10","Sulphates_NA",-0.00275623284364731,0.00458040841935442,-0.601743903884402,0.547355305611796
"11","TotalSulpherDioxide_NA",0.00294288846948975,0.00449338003929246,0.654938697318187,0.512519023336825
"12","Alcohol_NA",0.00182726348927638,0.00452136133436471,0.404140114922518,0.686116457087885
"13","FreeSulfurDioxide_NA",0.00356928113936289,0.00452973361140067,0.787967118061764,0.430730568985971
"14","Chlorides_NA",-0.000782154188322411,0.0045158914560559,-0.173200395964683,0.862496658142857
"15","ResidualSugar_NA",0.00300132870422339,0.00446301544620077,0.672488979794665,0.501284623898614
"16","pH_NA",-0.00631461106593682,0.00460852078836615,-1.3702034461638,0.17064749592513
"17","inter_Starsna_labelappeal",-0.0929728756190568,0.00784360230202716,-11.8533388153844,3.05171890266109e-32
"18","inter_stars_acidindex",0.440939651996634,0.0297343902709957,14.8292817837515,2.43689130814199e-49
"19","logAcidIndex",0.197680675758557,0.0386304058377537,5.11723010596391,3.14558210295888e-07
"20","VolatileAcidity",-0.0275790820407565,0.00582414922002822,-4.73529798067619,2.21085857302949e-06
"21","ResidualSugar",1.95150964321545e-05,0.000134694135566086,0.144884529308847,0.884804328402294
"22","CitricAcid",0.00513569876229768,0.00524651322667677,0.97887845515844,0.327658586762587
"23","Chlorides",-0.0321089502225619,0.0142823768104655,-2.24815173613356,0.0245835067777406
"24","FreeSulfurDioxide",9.58974679807316e-05,3.0503717014385e-05,3.14379614574539,0.00167153630315114
"25","FixedAcidity",0.000117440356931831,0.000729962541782069,0.16088545673196,0.87218616247852
"26","TotalSulfurDioxide",6.61493353130407e-05,1.97820324899562e-05,3.34390995195394,0.000828442577428116
